No,Q,Bot1,Bot2,Q_key_E,Bot1_Pharma,Bot2_Pharma,Bot1_Consult,Bot2_Consult
58,8. Is it possible to use sexual assistance tools such as balloons and vibrators?,"8. It is important to consult with your doctor and sexual experts to use sexual assistance such as balloons and vibrators. It is important to choose appropriate usage and products because it depends on the situation of the individual and the recovery process after treatment. While receiving the advice of an expert, make a choice that takes into account your comfort and safety.","8. The use of sexual assistive devices such as balloons and vibrators depends on the personal preference and physical condition. In general, it is possible to use sexual assistive tools after treatment of cancer, but it is important to consult a doctor or expert for specific usage and restrictions.",Sexual Functioning,0,0,1,1
59,9. I would like to consult about recurrence and infection risks about sexually transmitted diseases (eg Helpes) that were activated during cancer treatment.,"9. It is important to consult your doctor about sexually transmitted diseases (eg Helpes) activated during cancer treatment. Cancer treatment can reduce immunity, which may increase recurrence and risk risk. The attending physician will propose appropriate treatment and management methods.","9. If sexually transmitted diseases are activated during cancer treatment, it is important to consult your doctor or expert for recurrence or infection risks. During cancer treatment, immunity is likely to decrease and the risk of infectious diseases may increase, so it is necessary to consult a doctor to receive appropriate treatment and management.",Sexual Functioning,0,0,1,1
60,10. Is it possible to consult an expert such as sexual therapy? What kind of experts do you recommend?,"10. Consultation with experts such as sexual therapy is possible. Sex experts, sexual therapists, and psychotherapists provide specialized advice on sexual issues and psychological support. You can find and receive appropriate experts through your doctor and cancer support organization.","10. It is possible to consult an expert such as sexual therapy. Sex therapists, sex counselors, psychotherapists, etc. are suitable for dealing with sexual and related psychological problems after cancer treatment. Sexual therapists and sexual health experts specializing in cancer treatment may also provide appropriate support. We recommend that you consult a doctor in charge and receive an appropriate expert.",Sexual Functioning,0,0,0,0
61,1. Are there any sexual side effects of cancer treatment? What measures can be taken?,"1. Sexual side effects due to cancer treatment vary from person to person, but some treatments can cause libido or change in sexual function. There are the following methods as a countermeasure. -Promoted communication: It's important to share problems and get appropriate support through open communication with partners and medical teams. -Sexual therapy: By taking sessions with sexual therapists and sex experts, you can deal with sexual problems and find solutions.","1. Your sexual side effects of cancer treatment can include erection disorders, ejaculation disorders, orgasm, and reduced libido and intimacy. There are several measures to deal with these issues. First of all, it is important to be diagnosed with questions. If you are a physical problem, you need to consult with your doctor and consider the treatment option. If you have related issues or suffering, you should also consider introducing marriage therapy.",Others,0,0,1,1
62,2. Do you have any advice on weight management? What kind of support is available for weight management after cancer treatment?,2. Regarding weight management: There are the following advice: -Balanced meals: It's important to eat nutritionally balanced meals. Consult with your doctor or a dietitian to create an appropriate meal plan. -Modified exercise: Incorporating moderate exercise can help you maintain your weight and maintain your health. Assemble an appropriate exercise program under the guidance of your doctor and rehabilitation expert.,"2. Regarding weight management, it is important to maintain a healthy weight after cancer treatment. It is recommended that you consult with a doctor or a dietitian, as cancer treatment may fluctuate. They can propose appropriate meals and exercise advice based on your specific situation. It is also useful to use local support groups and resources.",Body Image,0,0,1,1
63,3. Is there a way to improve the fatigue and malaise experienced during cancer treatment? Is there a rehabilitation or exercise program?,"3. The following methods to improve fatigue are: -Modified exercise: Light exercise and rehabilitation programs can help reduce fatigue and restore physical strength and energy levels. Talk to your doctor or rehabilitation expert to create an appropriate exercise plan. -In energy management: By properly managing daily activities and rest, you can reduce fatigue. It is important to take sufficient rest and sleep.",3. There are rehabilitation and exercise programs as a way to improve the fatigue and malaise experienced during cancer treatment. These programs can help improve physical activity and improve energy levels. It is important to consult with a doctor or rehabilitation expert and find a program suitable for you.,Others,0,0,0,0
64,4. What kind of precautionary measures do I recommend to reduce the risk of cancer and the risk of new cancer?,"4. The following is a precautionary measure to reduce the risk of cancer and the risk of new cancer. -Healthy lifestyle: Maintain healthy lifestyles such as non -smoking, balanced diet, moderate exercise, and weight management. -A regular screening: It is important to take regular screening and tests for early detection of cancer. Consult with your doctor to make an appropriate schedule.","4. As a precautionary measure to reduce the risk of cancer and lower the risk of new cancer, it is important to take regular screening and testing. It is also effective to maintain a healthy lifestyle. A balanced diet, moderate exercise, quitting smoking, and appropriate stress management are important factors. It is important to consult with your doctor and find precautionary measures according to your specific situation.",Body Image,0,0,1,1
65,5. What resources can be used to receive psychological support after cancer treatment?,"5. The following resources are available to receive psychological support after cancer treatment. -Psychological counseling: By receiving psychological counseling and psychotherapy, you can deal with psychological problems and anxiety after treatment. -Support Group: Participating in support groups provided by other cancer survivors and support organizations can provide information exchange, experience sharing, and psychological support.","5. Several resources are available to receive psychological support after cancer treatment. For example, there are cancer support groups and counseling services. In addition, resources may be described in the cancer survivor guideline. It is important to consult a doctor or cancer treatment team to find support suitable for your needs.",Body Image,0,0,1,1
66,6. What measures can be taken for sleep disorders and insomnia after cancer treatment?,6. You can try the following measures for sleep disorders and insomnia. -Meading of sleep environment: Prepare a comfortable bedroom environment and try to sleep in a dark and quiet space. -Sleeping routine: It is important to create a regular sleep schedule and introduce a relaxed routine before falling asleep. -Fromer: It is also effective to learn relaxation techniques and stress management methods to reduce stress.,"6. In order to deal with sleep disorders and insomnia after cancer treatment, you can take the following measures. Improve the sleep environment: Create a quiet and dark environment in a comfortable state. It is important to pay attention to the selection of beds and pillows and relax your body. -Establish a sleep routine: Sleep at the same time every night and create a regular sleep schedule. -Learning stress management technology: You can reduce stress using technologies such as relaxation, deep breathing, and meditation. -Modified exercise: Physical activity after cancer treatment is important. Moderate exercise relieves the tension of the body and mind and leads to improvement of sleep. -Talk with a doctor or a nurse: If you are suffering from sleep disorders or insomnia, consult a doctor or nurse. They can propose measures and treatment methods suitable for patients.",Sexual Functioning,0,0,1,1
67,7. Are there any special guidelines or advice after cancer treatment for dietary and nutrition intake?,"7. There are the following guidelines and advice on dietary and nutritional intake after cancer treatment. -Meat -balanced diet: It is important to eat vegetables, fruits, whole grains, healthy fat, and high quality proteins in a well -balanced manner. Create an appropriate meal plan while receiving the advice of a dietitian or a meal expert.","7. The guidelines and advice on diet and nutrition after cancer treatment vary depending on the situation of each patient. However, general advice is: -Brinky meal: Eating a healthy meal is very important. A balanced diet contains abundant fruits and vegetables, high -quality protein, well -prepared carbohydrates, and healthy fat. -Coloring calorie intake: After cancer treatment, weight may fluctuate. Consult with a nutritionist and secure the appropriate calorie intake. -Detting water intake: It's very important to get enough water. Moisture is necessary to maintain the normal function of the body. -Sped individual needs: Dietary effects may be limited due to side effects of cancer treatment. Consult with a nutritionist and create a meal plan that meets individual needs.",Others,0,0,1,1
68,8. Is there a need or frequency of regular follow -up after cancer treatment?,"8. After cancer treatment, regular follow -up is required. Specific frequency and schedule should be decided by consulting with your doctor. The purpose of follow -up is recurrence, monitoring of therapeutic effects, and managing health status. By receiving regular inspections and medical examinations, you can find early changes and problems and take appropriate measures.","8. Regular follow -up is very important after cancer treatment. The necessity and frequency of follow-up depends on the situation of each patient, but there are the following as a general guideline: -Shispere of cancer treatment and physical condition, regular doctors. A consultation is required. -A regular tests and screening may be performed for the purpose of early detection of complications and recurrence after treatment. -If you need psychological support, regular sessions with psychologists and counselors may be considered. It is important to decide the frequency and content of follow -up while consulting with your doctor.",Others,0,0,1,1
69,9. What kind of support can be used for returning to work or returning to life after cancer treatment?,9. The following support can be used to return to work and life after cancer treatment. -Reshabilitation program: You can participate in a program that helps you recover your physical strength and functions through cooperation with rehabilitation experts and occupational therapists. -S -occupational rehabilitation: You can use the vocational rehabilitation service to support returning to work. This includes vocational training and adjusting the working environment.,"9. The following support can be used for returning to work and life after cancer treatment:- Flexible schedule in the workplace: Communication with the workplace to smoothly return to work. Let's do it. If necessary, flexible schedules and adjustments may be performed. -The workplace Acomodation: Consult with the employer about the acomo dations required at work (eg, barrier -free facilities, special chairs). -Sustain from occupational therapists and rehabilitation experts: Occupational therapists and rehabilitation experts are helpful to support returning to work. It is important to consult with them and plan to gradually return to work. -Psychological support: Returning to work after cancer treatment can be stressful and anxious. It is also recommended to receive support from psychologists and counselors.",Others,0,0,1,1
70,10. What kind of advice do you have about the relationship and support with your family and friends after cancer treatment?,"10. There are the following advice on the relationship and support with family and friends after cancer treatment. -Promotion: Share emotions and needs through open communication with family and friends. By receiving support, you can gain physical and psychological support. -Support group: By participating in cancer support groups and family support organizations, you can share connections with others, exchange information, and share experience. By participating with family and friends, you can get understanding and support.","10. The following advice with family and friends after cancer treatment is as follows: -It is important to keep communication with your family and friends after treatment. Discuss emotions and needs openly and receive each other's support. -Material for limited support: After treatment, physical strength and energy may still be limited. You can reduce the burden by seeking limited support from family and friends. -Proofing in support groups: For the relationships and supports with family and friends after cancer treatment, it may be useful to participate in the cancer support group. The connection with people with similar experience provides understanding and encouragement. -The support of experts: If necessary, it is also recommended to receive the support of a psychologist or counselor.",Intimacy,0,0,0,0
71,1. Are there any special precautions for sex after cancer treatment?,"1. There are the following precautions for sex after cancer treatment: -Card consultation with the attending physician: Talk to your doctor about the physical changes and side effects caused by treatment, and check the precautions and restrictions related to sex. ÅB -Slow approach: When resuming sex, it is important to incorporate a slow pace and gentle approach. -My communication: Let's communicate with partners and understand each other's emotions and needs.","1. There are some precautions for sex after cancer treatment. First, patients need to provide appropriate education and information on the effects and side effects of cancer treatment. Regarding physical and problems during sex, regular dialogue with patients is important. In addition, dialogue with patients is important for sex -related symptoms and treatment plans.",Sexual Functioning,0,0,0,0
72,"2. You may feel pain during sex, can this be cured?","2. Pain during sex can be cured. Depending on the recovery period after treatment and the condition of the physical condition, time and appropriate care may alleviate the pain. It is important to consult with your physician or sex therapist to find the cause of pain and appropriate measures.","2. You may feel pain during sex, but this can be cured. It can be improved by identifying the cause of pain and discomfort and receiving appropriate approaches and treatments for it. You may be able to reduce or resolve pain by consulting with experts and taking appropriate measures.",Sexual Response,0,0,1,1
73,3. Is there a way to reduce anxiety and tension during sex?,"3. The following methods are effective to reduce anxiety and tension during sex-Relaxing method practice: Intract relaxation methods such as deep breathing, meditation, and progressive muscle relaxation. -My communication: Let's focus on communication with partners and discuss each other's anxiety and wishes. -Gentle approach: Sex at a kindness or slow pace can reduce anxiety and tension.","3. There are several ways to reduce anxiety and tension during sex. You can use stress reduction methods such as relaxation techniques and deep breathing. It is also important to understand open communication with partners, each other's needs and hopes. It is also important to focus on enjoying sex and reduce pressure and stress.",Sexual Functioning,0,0,1,1
74,4. Is the change in libido after cancer treatment temporary or permanent?,"4. Changes in libido after cancer treatment vary from individual to person, from temporary to permanent. Sexual desire can be restored by treatment and recovery of the body, but some people can make permanent changes. It is important to consult with sex therapists and your doctor according to individual situations and receive appropriate support.","4. Changes in sexual desire after cancer treatment vary from person to person. Some people may be a temporary change, but others can be a permanent change. The effects of cancer treatment and other factors (physical, psychological, hormones, etc.) on sexual desire are very personal. Discussing with experts about changes in desires and pleasure for sex, you can receive appropriate support and advice.",Sexual Response,0,0,0,0
75,"5. It's easy to get tired during sex, is this normal?","5. It's normal to get tired during sex. During the cancer treatment and recovery period, physical fatigue may remain, and the physical strength and energy required for sex may be reduced. It is important to adjust the timing and pace of having sex and consider each other's physical strength and fatigue.","5. Due to the effects of cancer treatment and cancer, you may be tired during sex. Reducing and fatigue is a common problem for patients after cancer treatment. It is normal to get tired during sex, and it is important to take a break according to your pace and physical strength. You can also reduce fatigue by relaxing and stretching before sex.",Sexual Response,0,0,1,1
76,6. I am afraid of the physical changes needed for sex and feel resistance to sex. How can I overcome this resistance?,6. The following methods may be useful to overcome the resistance to sex-Communication: Let's discuss anxiety and resistance through open communication with partners. -Sex therapist support: Learn advice and techniques from sex therapists and regain confidence and pleasure for sex.,"6. In order to overcome the resistance to sex, it is important to start dialogue with yourself. It is important to recognize what kind of anxiety and fear you feel and accept yourself gently for those emotions. In addition, consulting with a sexual therapist or counselor may also help. They can provide appropriate support and guidance for your emotions and difficulties.",Sexual Response,0,0,0,0
77,7. Can the self -image and self -esteem decrease after cancer treatment can affect sex?,"7. Self -image and decrease in self -esteem after cancer treatment can affect sex. It is important to promote understanding and acceptance of your changes and emotions, and to nurture positive self -images related to sexuality. With the support of therapists and support groups, you can take efforts to improve self -esteem and self -image.","7. The self -image and self -esteem decrease after cancer treatment can affect sex. It is important to have a positive attitude toward your physical change and appearance, and to provide emotional support through open communication with your partner. You can also receive advice that helps you to improve your self -evaluation and self -image by consulting with a sexual therapist or counselor.",Sexual Functioning,0,0,1,1
78,8. How can I recover my physical strength and endurance?,"8. The following methods are valid to restore physical strength and endurance for sex-Moderate exercise: Incorporate moderate exercise to promote your body recovery. Exercise and rehabilitation programs to improve physical strength and endurance are useful -Healthy lifestyle: Mainly maintain healthy lifestyle, such as balanced diet, sufficient rest and sleep, stress management.","8. In order to restore physical strength and endurance, it is important to first understand your physical restrictions and health, and to exercise moderately at a stable pace. It is also important to eat nutritionally balanced meals and sufficient sleep. If necessary, you can learn how to practice your physical strength and endurance in cooperation with rehabilitation programs and sex therapists.",Body Image,0,0,1,1
79,9. What kind of advice do you have about emotional connections and intimacy during sex?,9. There are the following advice to enhance emotional connections and intimacy during sex-Communication: Discuss each other's emotions and needs during sex. -Excent each other: You can respect each other and express your affection and kindness to deepen emotional connections. -See new sex form: You can experience new emotional connections and intimacy by changing sex methods and activities.,"9. Communication and sharing are important to increase emotional connections and intimacy during sex. It is important to understand each other's wishes and needs through honest dialogue with your partner. Get advice from sex therapists and counselors will also help. In addition, relaxing with each other and creating an environment where you can feel affection and trust can also increase emotional connections during sex.",Sexual Response,0,0,1,1
80,"10. Is there a way to deal with side effects that may occur during sex (eg, drying, discomfort, urine leaks, etc.)? """"","10. How to deal with side effects (eg, drying, discomfort, urine leakage, etc.) that may occur during sex include the following: Use of lubricant: ease drying and discomfort during sex. It is useful to use a water -soluble lubricant or a silicon -based lubricant. -Measures against urinary leakage: In the event of urine leakage, you can get a sense of security by using a dedicated urine leakage pad and pants. Consider appropriate measures while consulting with experts. -Carding with your doctor and sex therapist: It is important to consult with your doctor or sex therapist about side effects during sex and find appropriate measures. """"","10. Side effects that may occur during sex include how to deal with individual symptoms. For example, for drying and discomfort, lubricant can be used, and urine leakage can have sex after excreting urine in advance. However, if these problems continue, it is important to consult a sexual therapist or doctor. They can provide appropriate advice and treatments.",Body Image,0,0,0,0
81,1. Is there a possibility that it will affect sexual function after the treatment of my cancer?,"1. Cancer treatment can affect sexual functions. Specific effects vary depending on individuals and treatment methods, but general effects include reduced libido, erection, drying and pain. However, recovery after treatment and appropriate support can be expected to improve sexual functions.",1. Cancer treatment can affect sexual functions. This guidelines recommend that cancer patients provide information and support on sexual functional issues.,Sexual Functioning,0,0,1,1
82,"2. After cancer treatment, I want to know the risk of infertility and the possibility of pregnancy.","2. The risk of infertility after cancer treatment and the possibility of pregnancy vary depending on the individual situation. Some treatments can affect the reproductive ability, so it is important to consult with your doctor if you want to become pregnant and get appropriate advice.",2. The risk of infertility and the possibility of pregnancy may vary depending on individual cancer treatment. We recommend that you consult with your doctor to understand the effects of treatment.,Others,0,0,1,1
83,3. What kind of advice do you have if weight management becomes difficult after cancer treatment?,"3. If weight management is difficult, you will get the following advice-good nutritional diet: Keep a healthy diet and take a balanced nutrition. -Modified exercise: It is important to incorporate moderate exercise for weight management and health promotion. -Soters and specialists' support: You can get appropriate advice and plans by receiving the support of experts on weight management.","3. Regarding weight management, it may be an important problem after cancer treatment. By receiving counseling and advice from a nutritionist, you can learn healthy weight management methods.",Body Image,0,0,1,1
84,4. What kind of support and resources can be used for psychological effects and anxiety after cancer treatment?,"4. The following support and resources can be used for psychological impacts and anxiety after cancer treatment-support group: Support through connections with cancer survivors and other people who have the same experience and exchange information. Can be obtained. -Psychiatric and counselor support: You can receive specialized support for psychological problems and anxiety. -Psychological self -care: It is also important to do psychological care, such as relaxation and stress management techniques.","4. For psychological effects and anxiety after cancer treatment, support groups and psychological counseling may be available. There are also organizations that provide cancer -related resources and information.",Intimacy,0,0,1,1
85,5. What signs should be missed after cancer treatment to pay attention to signs of recurrence and side effects?,"5. To pay attention to signs of recurrence and side effects, it is important to pay attention to the following signs-Changes in symptoms: Pay attention to changes in the body abnormalities, new symptoms, and discomfort. -A regular follow -up test: It is important to have regular tests and follow -ups according to the attending physician's instructions. -Self -monitoring: Make careful monitoring your body and health condition and be aware of unusual changes quickly.","5. It is important to receive accurate information from a doctor regarding signs of recurrence and side effects. Regular examinations, follow -ups, and confirmation of treatment plans will help you recur and early detection of side effects.",Others,0,0,1,1
86,6. What should I do to return to the normal energy level after cancer treatment?,"6. In order to return to the normal energy level, it is effective to work on the following: -Appropriate rest and sleep: Ensure sufficient rest and good sleep. -Modified exercise: Do moderate exercise to promote your body recovery. -Ploring meals: Restore energy levels by eating a well -balanced diet.","6. To recover the energy level after cancer treatment, a balanced diet, moderate exercise, and sufficient rest. Stress management and psychological support can also help.",Others,0,0,1,1
87,7. What options have about survivorship care plan?,"7. Survivorship Care Plan has the following options: -Regular follow -up tests: It is important to have regular inspections for recurrence and health monitoring. -Psychological support: Get mental care by receiving the support of psychological experts and counselors. -The maintenance of healthy lifestyles: It is important to maintain healthy lifestyle, such as balanced diet, moderate exercise, and stress management.","7. Survivorship Care Plan may include regular follow -up schedules, health monitoring, psychological support, changes in lifestyle, nutrition guidance, and rehabilitation programs. Through consultation with doctors and care teams, individual care plans are created.",Sexual Functioning,0,0,0,0
88,8. Do you recommend participating in the rehabilitation program after cancer treatment?,8. Participation in a rehabilitation program after cancer treatment may help you recover your physical and improve functions. Consult with your doctor or rehabilitation expert and consider the appropriate rehabilitation program according to the individual situation.,"8. The rehabilitation program after cancer treatment depends on each situation. However, in many cases, rehabilitation programs can help you recover physical and improve functions. We recommend that you consult your doctor or rehabilitation expert for specific recommendations.",Body Image,0,0,1,1
89,9. Do you have any advice on diet and nutrition after cancer treatment?,"9. The advice on diet and nutrition is as follows: -Datives with a good nutritional balance: Balance with vegetables, fruits, whole grains, healthy fat, and high quality proteins to eat healthy meals. Let's take well. -Detting water: Take sufficient water and maintain a water balance. -Nutritional foods: We may consult with the attending physician or dietitian if necessary and consider the use of nutritional foods.","9. Dietary and nutrition after cancer treatment vary depending on the individual case. In general, it is important to have a balanced diet, sufficient water intake, and nutritious food intake. We also recommend consulting with your doctor or dietitian for the use of specific nutritional therapy and supplements.",Others,0,0,1,1
90,10. What kind of lifestyle is needed to minimize the risk of recurrence after cancer treatment?,"10. In order to minimize the risk of recurrence, the following lifestyle changes will help -quit smoking and limited alcohol intake: Non -smoking and pay attention to limited alcohol intake. -Healthy diet: Eat vegetables, fruits, whole grains, healthy fat, and high quality proteins. -Modified exercise: It is important to adopt moderate exercise and keep your body active. -Fromance management: Use stress properly, adopt a relaxation method and stress -reducing method. -A regular follow -up test: It is important to undergo regular inspections and follow -ups according to your doctor's instructions. """"","10. To minimize the risk of recurrence, maintaining a healthy lifestyle is important. This includes a balanced diet, proper exercise, smoking, moderate alcohol intake, and stress management. Depending on the individual situation, there are instructions and advice by doctors and care teams, so it is important to follow it.",Others,0,0,1,1
91,1. The effects of cancer treatment may cause sexual relationships. How should I deal with it?,"1. If there is a problem with sexual relationships due to cancer treatment, there are the following measures: Open communication: Share emotions and concerns, cherishing communication with partners. -Scroof of experts: Sex therapists and counselors can find a new approach to problem solving and sex.","1. If sexual relationships are caused by the effects of cancer treatment, it is important to first talk with your doctor. Doctors can propose how to deal with and need treatment options based on your specific situation. Consider participating in sexual health experts and support groups. They can provide support and advice on your problems.",Intimacy,0,1,1,1
92,"2. After cancer treatment, it is difficult to be confident in your body. How can I increase my self -affirmation?","2. Try the following methods to enhance your self -affirmation: -Self -care: Take care of yourself and take care of yourself. For example, it is useful to incorporate activities such as relaxation methods, mindfulness, and yoga. -Proofing in the support group: You can increase your self -affirmation through connections with people who have the same experience and exchange information. -Spot's support: It is also effective to consult with a psychological expert or counselor to improve your self -affirmation.","2. After cancer treatment, it is important to actively support yourself in order to increase your self -affirmation. Accept your body and try to be kind to yourself. It is also useful to have the opportunity to talk with other cancer survivors by using support groups and counseling.",Sexual Response,0,0,0,0
93,"3. Gain weight due to cancer treatment, and there is a complex in the body type. How can we manage healthy weight?","3. For healthy weight management, there are the following advice: -Balanced meal: Let's try to eat a well -balanced nutritional diet. It is also recommended to receive the appropriate meal plan or a dietitian. -Modified exercise: It is important to adopt daily exercise and keep your body active. Under the guidance of doctors and experts.","3. If you gain weight due to cancer treatment and feel a complex in your body type, consult a doctor or dietitian for healthy weight management. They can provide advice based on your specific situations and needs. It is also important to incorporate a balanced diet and appropriate exercise.",Body Image,0,0,1,1
94,"4. After cancer treatment, sexual needs have declined. Is this a temporary or a permanent effect?","4. The decline in sexual needs varies from individual to individual, but may be temporary. However, if permanent impacts remain, it is beneficial to support experts and consult with sex therapists.","4. If sexual needs are declining after cancer treatment, this depends on the individual whether it is temporary or permanent. In general, as the treatment is terminated and the recovery progresses, sexual needs may recover. However, depending on the individual situation, it may be a permanent problem. It is important to talk to doctors and therapists and receive specific advice.",Sexual Response,0,0,1,1
95,"5. After the treatment of cancer, physical fatigue remains. How can you recover energy?",5. The following methods are effective in reducing physical fatigue and restoring energy: -Appropriate rest and sleep: Ensure sufficient rest and good sleep. -Modified exercise: Incorporate moderate exercise to keep your body active. -Nutritional balance: Let's recover the energy level by eating a nutritious diet.,"5. If you have physical fatigue after cancer treatment, it is important to take sufficient rest and sleep. Getting appropriate nutrition and doing moderate exercise can help you restore energy. It is also effective to incorporate stress management and relaxation. We recommend that you consult a doctor or expert and receive individual advice.",Others,0,0,0,0
96,6. I want to be confident in my body image if I lose my breast with cancer treatment. How can you find options for breast reconstruction surgery?,6. It is important to consult with your doctor or expert for choices such as breast reconstruction surgery. You can find a medical team or a specialist in breast reconstruction that provides information about breast reconstruction.,"6. To find options such as breast reconstruction surgery, we recommend that you first consult your doctor or cancer treatment team. They can introduce the latest information and appropriate experts. In addition, you can contact local cancer support groups and patient associations to gather information and experiences regarding breast reconstruction.",Others,0,0,0,0
97,"7. After cancer treatment, I am suffering from mental anxiety and depression. How can I get psychological support?","7. If you are suffering from mental anxiety or depression, you can receive the following psychological support-support for psychological experts and counselors: Specialized support for psychological problems Can be received. -Proof in support group: You can get support through connections with other cancer survivors and people who have the same experience.","7. If you are suffering from mental anxiety or depression, it is important to consult your doctor first. They can introduce experts and resources that can provide appropriate psychological support. Psychotherapy, counseling, psychological therapy, etc. may be useful, so try to find a method that suits you.",Others,0,0,1,1
98,"8. If there is a possibility of infertility after cancer treatment, can I consult about an alternative family planning method?","8. If there is a possibility of infertility after cancer treatment, it is important to consult an alternative family planning method with your doctor or fertility treatment expert. They provide appropriate advice and options.",8. You can consult about the possibility of infertility after cancer treatment and how to plan alternative family planning. It is important to talk to your doctor and the cancer treatment team to discuss the risk of infertility and the possibility of pregnancy after treatment. They will introduce appropriate experts and resources.,Others,1,0,1,1
99,"9. Is there any effect on sexual functions if you receive drug therapy for cancer treatment? If so, how should I deal with it?","9. The impact of drug therapy on sexual functions varies from individual to individual. Through consultation with your doctor, you can find measures to minimize the impact.","9. Receiving drug therapy for cancer treatment may have an effect on sexual function. However, the specific impact varies from patient to patient, so it is important to consult with your doctor to find the optimal solution for you. The attending physician will propose appropriate treatment methods and support.",Sexual Functioning,0,0,1,1
100,"10. I want to get pregnant after cancer treatment, but I want to know if it is possible. Do I need to consult a doctor? """"","10. For pregnancy, you need to consult with your doctor or expert. Whether you can get pregnant after cancer treatment depends on your personal situation and treatment method. Doctors provide appropriate advice based on your specific situation.","10. If you are considering pregnancy after cancer treatment, you need to consult a doctor. Depending on the type and degree of progress of cancer treatment, there may be risks after pregnancy or after pregnancy. Doctors will provide the best advice based on your situation. It is important to discuss the possibility of pregnancy and the right timing in detail through consultation with a doctor.",Others,0,0,1,1
